source,target,en_length,zh_length
"Of {b}course{/b} Devon wouldn't fuck with him over this, and Cameron can't understand why he'd thought that.",Devon{b}当然{/b}不会拿这件事开玩笑，Cameron搞不懂自己怎么会这么想。,108,43
It seemed like a possibility just five minutes ago.,就在五分钟前，他还觉得有这个可能。,51,17
"But something holds him from running back right now, and that's because if he's crazy...",出于顾虑，他没有立即动身。因为如果他确实疯了...,88,25
"If he's crazy, he doesn't want Dev to see it.",他不想让Dev看到自己发病的模样。,45,17
"Sure, he'd had a few nervous breakdowns and panic attacks in the first few years of their relationship, but that's normal crazy.",虽然在他们交往的头几年里，他是有过几次精神崩溃和恐慌发作，但那只是普通的发疯。,128,39
This.{cps=3}..{/cps}{w=0.4} This is {b}actually{/b} crazy.,而这{cps=3}...{/cps}{w=0.4}是{b}真正的{/b}疯狂。,58,39
It's psychotic.,精神错乱。,15,5
"And while Dev would hold him, comfort him, take him away from this place...",就算Dev抱住他，安慰他，带着他离开这里...,75,23
... who's to say what would happen after that?,...谁又能保证之后不会发生什么？,46,17
"Behind his outgoing nature and warm smile, Dev would be doubting their relationship.",在热情和微笑背后，Dev会怀疑这段感情。,84,20
"{b}\""{cps=30}He already is.\""{/b}",{b}\,33,4
"He'd be worn down by Cameron's deteriorating mental state, his deteriorating hygiene, the deterioration of the man he once knew as the spiral into delusions deepens...",他将被Cameron不断恶化的精神状态，日益严重的卫生问题折磨得不堪重负。他该如何面对这个逐渐堕入妄想的，熟悉的陌生人...,167,62
{b}Stop it.{/b},{b}到此为止吧。{/b},15,13
"\""{cps=25}{b}No, {w=0.3}but you're her son.\""{/b}",\,49,1
"That voice, the one that comes from inside his head.",这个声音来自他的脑海。,52,11
The one that doesn't feel like his inner voice.,一个不像心声的声音。,47,10
The one that won't shut the fuck up.,一个死活不肯闭嘴的声音。,36,12
"Cameron is walking back the way he came, back toward Devon, toward what he knows is real and safe.",Cameron正沿着来时的路往回走，朝向Devon，朝向他所知的安全与真实。,98,38
"\""{cps=25}{b}But is he?\""{/b}",\,29,1
"Even though he's scared, he says it confidently, and strangely enough, he feels what seems like a pause on the voice's end.",尽管害怕，却也言之凿凿。并且奇怪的是，他感觉那个声音犹豫了。,123,30
Like it's not quite sure how to respond.,好像它不知该如何回应。,40,11
{b}Good.{/b},{b}很好。{/b},12,10
"Cameron thinks, this time with his own thoughts.",这一次，Cameron在以自己的意志思考。,48,21
"He makes sure to walk to the side of the road, the dusty, somewhat rocky surface preferable to the whispering gravel.",他确保自己走在路边。那里尘土飞扬，坎坷崎岖，但总好过低语的砾石。,117,32
Devon keeps trying to figure out how things could have gone so wrong.,Devon一直在想，事情怎么会如此急转直下的。,69,23
His feelings earlier about an impending catastrophic failure now feel fully validated.,他早先的不祥预感得到了充分的证实。,86,17
It's happened.,灾难性的后果。,14,7
He took those courses emphasizing engineering ethics.,他选修了工程伦理学。,53,10
He studied cases in which every step of a disaster was detailed and exactly how each step was preventable.,他详细研究过各种事故。每一步都是有迹可循的，可以预防的。,106,28
"He took great care in his career to make sure he would never become one of those case studies, that the machines he helped design were as safe as possible.",他的职业生涯中写满了谨慎，以确保自己参与设计的机器尽可能安全，确保自己永远不会成为课本上的案例。,155,48
"And while he'd already thought this, it's the fact he didn't even know Cameron was on an antipsychotic at some point, just that he was on \""meds\"".",尽管他有考虑过，但事实上他压根不知道Cameron用过安定剂，他只知道他在吃‘药’。,147,42
"He knew Cameron's problems were concerning, and he reassured himself with a crash course in abnormal psychology.",他知道Cameron的病情不容乐观，他还参加了病态心理学的速成班以自我安慰。,112,38
Psychology...,心理学...,13,6
"While he was never as openly disdainful as his peers, the idea of trying to explain complex behavior through endless theories was frustrating, to say the least.",虽然他从未像其他同龄人那样把鄙视写在脸上，但可以说，他对试图用无尽的理论来解释复杂行为的想法不抱希望。,160,51
"He chalked it up to him being one of those people who simply needed a solid answer, a number.",他把这些归于自己需要一个确切的答案，一串数字。,93,23
"But he also remembers those months when Cameron was on his medication, how one night he'd had Dev sit with him in the arts building on campus.",但他同样记得Cameron服药的那几个月里，有一天晚上，他让Dev留在学校里的艺术部。,142,43
"It was late and no one was around as Cameron almost angrily bashed on the keys of the grand piano, asking him if any of it sounded good.",那是个僻静的夜晚，四下无人，Cameron近乎狂怒地猛击大钢琴的琴键，问他有没有哪段节奏是能听的。,136,49
Dev said it sounded fine.,Dev回答听起来都还行。,25,12
"Then, the coyote finally broke down, saying he couldn't write music anymore.",随后，这只郊狼终于崩溃了，说他再也写不了音乐了。,76,24
"That emotionally, things had become black and white, that there was a wall between him and who he was.",感情被蒙上一层黑白滤镜，自我认知也不再清晰。,102,22
That the medicine he was taking was the reason why he fucked up his chance with the label.,就是那些药物，毁了他发行唱片的机会。,90,18
"And as Cameron sobbed over the piano, Devon had decided that psychology doesn't know a thing about how people work.",看着Cameron伏在钢琴上啜泣，Devon认定，心理学就是一纸空文。,115,35
That psychiatrists might as well be drug dealers with an office.,精神科医生还不如叫有编制的毒贩。,64,16
"It had been the same for his mother, after what happened with Lupita.",在Lupita的事故发生后，同样的事也发生在了他母亲身上。,69,29
"Even now, she struggles with her addiction to benzodiazepines, something carelessly prescribed to her so she'd stop wailing all the time.",即使现在，她也在努力克服对苯二氮卓类药物的依赖。一切都出一个让她止啼的，随手的药方。,137,42
"To Devon, it seemed like psychology never moved past lobotomies.",在Devon看来，心理学已经止步在了脑叶切除术。,64,24
"Instead, they just converted it into pills.",他们不求上进，反而依赖起了小小的药丸。,43,19
"And he never really changed that mindset, and it's why he never encouraged Cameron to seek some sort of help, especially if he didn't want it.",他对这种观点坚信不疑，这也是为什么，他从不鼓励Cameron去寻求‘那种’帮助，尤其是在他本人不想的情况下。,142,54
What he took away from his research is that hallucinations of any kind are of serious concern and should never be brushed off.,他从研究中得出的结论是，任何形式的幻觉都值得被严肃对待，而非不了了之。,126,35
But he had done just that with the idea that maybe there's more to hallucinations for some people than psychology will ever understand.,至于他的本意，则是他认为有些人的幻觉远不止心理学能解释的。,135,29
Maybe it's ghosts.,没准是因为幽灵呢。,18,9
Devon wants to hit himself.,Devon真想给自己一巴掌。,27,14
"In fact, he wishes the weasel man had added a kick in the nuts to go with the gut punch, something else to help remind him how utterly stupid he is.",事实上，他倒希望那只鼬能往他两腿间加上一脚，好提醒他自己有多么愚蠢。,148,34
The concept of the paranormal is so far from his mind at this point that he doubts he'll ever dabble in it again.,此时此刻，他早已无暇顾及超自然现象，恐怕今后也不会再涉足这一行。,113,32
"Devon looks up, and sure enough, he sees Cameron running toward them.",Devon抬起头，果不其然，他看到了迎面奔来的Cameron。,69,31
The smile of relief on the coyote's face seems to break the dam of emotion in Dev's chest.,郊狼脸上释怀的微笑一下子冲垮了Dev的心理防线。,90,24
"That wild look he'd had earlier, the one that had looked at him as if he were a stranger is gone.",先前那疯狂的举止，那陌生人一样的神情已经消失不见了。,97,26
"The next thing he knows, he's running, too.",不知不觉间，他也奔跑起来。,43,13
"He wonders why Cam is running on the rough rocks and thorny vegetation, but Devon joins him and Cameron runs into his chest with a thump.",他不知道Cam为什么要在粗糙的岩石和满是刺的植被上奔跑，却也不由自主地加入了Cameron，直至对方砰地一声撞进他的胸口。,137,61
"Devon, rocking them back and forth on the uneven, rocky ground, sends them to the dirt, but Devon just pulls Cameron into his lap, still hugging him tightly.",Devon没能在崎岖的岩地上保持平衡，害两人一起跌了下去。但他并没有急着起身，只是把Cameron拉进怀中，一刻也不肯松手。,157,62
"Meanwhile, Artie is looking away, seeming to have spotted something very interesting in the miniature forest just off the road, though he's smiling.",与此同时，Artie把视线移向了别处，面带着微笑，似乎是在路边的小树林里发现了什么有趣的东西。,148,47
"Cameron stays quiet and Devon is content to just hold the coyote, both of them sniffling.",Cameron没有说话，Devon也只是享受着与郊狼相拥的这一刻，两人都抽着鼻子。,89,41
"Meanwhile, the coyote plucks at sagebrush that's rubbing up against them, which he holds to his nose.",其间，郊狼把蹭到他们身上的山艾拔下来，凑到鼻子前。,101,25
"Devon tries to adjust to the jarring shift in conversation, but goes along with it, assuming Cameron just wants to focus on other things for now.",Devon努力跟上这僵硬的转折，不过他也赞成Cameron把注意力放在其他事情上。,145,41
Cameron inhales the sprig of sagebrush in his paw again.,Cameron又闻了闻爪子里的山艾枝。,56,19
"In all honesty, Dev hadn't either.",老实说，Dev也不喜欢。,34,12
"He had meant to take Cameron ice fishing, like his father had taken him so many times.",他本打算效仿他父亲，带Cameron去冰上钓鱼。,86,24
"The second they got there, though, he realized how woefully underprepared he was.",只可惜他们事先准备得太不充分了。,81,16
"Dev almost laughs at the memory, of being so exhausted by the time he opened the cabin that his plans to romantically make love to Cameron went out the window the second they got in bed.",Dev简直要嘲笑当时的自己了，光是打开小屋的门就已经耗光了全部精力，乃至刚一沾上枕头，就把跟Cmaeron滚床单的浪漫计划抛到了九霄云外。,186,69
"Dev isn't going to ask him to elaborate, or tell him that UFOs are commonly reported in Echo, especially in times when supernatural activity is at its peak.",Dev不会要求Cam详细说明，亦或是告诉他回音镇经常有目击UFO的报道，尤其是在超自然现象最频发的时段。,156,52
"While he wants to convince Cameron he isn't mentally ill, he knows that's not what he should be doing right now.",虽然很想打消Cameron对自己患有精神疾病的顾虑，但他明白，眼下这不是最优先的。,112,41
"Even though he wants to deny it, he doesn't know if it's true or not.",且即便他极力否认，事实真就如此吗？,69,17
"He believes Cameron is psychic, but that's taken a backseat to the possibility that something else is happening too, and Dev can't be the one to figure that out for Cameron.",他相信Cameron是能通灵的，但这就与其他已经发生的事相悖，而Dev又不可能为Cameron解释清楚。,173,52
He can only be there to support him.,他只能支持他。,36,7
"Sure enough, Artie's disappeared.",果然，哪里都不见Artie。,33,14
Dev stares at the tree line hopefully.,Dev焦急地凝视着林木线。,38,13
They get up and move toward the forest.,他们起身向森林走去。,39,10
"Dev wants to tell Cameron to wait on the road, but at the same time, he's worried about losing him again right after finding him.",Dev很想让Cameron在路边等，可又担心再次失去他。,129,28
"Somehow, this seemingly innocuous patch of trees is even more ominous during the day.",不知为何，这片看似无害的森林在阳光下更显不详。,85,23
"Dev whispers loudly into the trees, holding Cameron's paw as they descend into the ditch and over onto the forest side.",Dev对着树海低声喊道，同时紧握住Cameron的爪子。他们一同翻过排水沟，来到树林边缘。,119,45
They only take a few steps into the trees before Artie calls back.,还没走几步，他们就听到了Artie的回应。,66,21
Dev continues to shout-whisper.,Dev继续低声吼道。,31,10
"Devon can see movement from Artie now, some of the bushes about ten feet ahead of them shifting.",Devon现在可以看到Artie的动静了：前方十英尺左右一簇移动的灌木丛。,96,37
"Dev sighs, then notices Cameron with his ears low, looking anxious.",Dev叹了口气，随即注意到Cameron压低了耳朵，显得有些焦虑。,67,33
"Dev listens, but only hears some wind through the trees.",Dev仔细聆听，却只捕捉到风吹过森林的声音。,56,22
But then there is something.{cps=3}..{/cps}{w=0.4} maybe what could be described as static--,但紧接着{cps=3}...{/cps}{w=0.4}一阵可以被称之为杂音的-,92,39
He jumps as his phone's notification sound goes off.,他被手机提示音吓得一蹦三丈高。,52,15
"He takes his phone out, seeing that an email managed to get through.",他掏出手机，看到一封电子邮件成功发送了过来。,68,22
"The notification banner cuts off there, and the surreal message makes Devon feel like they're isolated from the world now more than ever.",通知被窗口截断于此，这超现实的信息令Devon感觉他们现在比以往任何时候都更孤立无援。,137,43
"He wonders if he should try to call the police, even though he still only has one bar.",他不知道自己是否应该尝试报警，尽管手机只有一格信号。,86,26
"At this point, he'd be willing to just let the authorities know that they're stranded before anything else can happen.",当务之急，他只想通知当局他们被困住了。,118,19
Then something out of the corner of his eye catches his attention.,就在这时，视野角落的某个东西引起了他的注意。,66,22
"It looks like the wall of a structure of some kind, beige and peeling, hard to see through all the leaves and branches.",很难透过茂密的枝叶看清，不过像是某种结构的墙，米黄色、外皮剥落。,119,32
"Devon holds up his paw in front of Cameron, signaling for him to stay put before taking a few cautious steps further into the forest.",Devon举起爪子，示意Cameron待在原地，然后小心翼翼地深入了几步。,133,37
"He thinks it's a trailer, one that looks so run down that he wouldn't be surprised if it's abandoned.",疑似一辆拖车，破烂不堪，不出意外的话应该已经被遗弃了。,101,27
"What unsettles him is that it's buried so deep behind the trees, it's like it's meant to be hidden.",真正令他不安的是，它被深深埋于树后，似乎有人刻意将其隐藏起来。,99,31
"He can try to make a call further down the road, away from whatever that is.",他远离了那个未知的存在，想着可以在公路上试着打电话。,76,26
The look on Artie's face makes the bear pause.,Artie的表情堵住了熊的嘴。,46,15
"His voice is quiet, but his tone is one of confusion and shock, staring over Dev's shoulder.",他越过Dev的肩头望去，声音平静，但语气中充满了怀疑。,92,27
"Devon feels dread creep over him, not sure how something else could be happening right now, something so terrible that Artie has that look--",Devon又惊又惧，六神无主，不知道又发生了哪种可怕的意外，以至于Artie都露出那种表情-,140,46
Cameron stands where he left him.,Cameron呆立在原地。,33,13
"Oddly enough, he doesn't even seem to be paying attention to them.",奇怪的是，他好像完全没有注意到他们。,66,18
"He's staring up, towards the trees, and Devon can see his eyes darting from left to right.",他昂头看向树冠，眼球从左到右扫视着。,90,18
"His ears are laying back and twitching, like he's hearing something that's too loud.",他双耳朝后张开，微微抽搐，犹如听到了什么特别大的动静。,84,27
"His breathing is heavy, and Devon can see his chest heaving.",他的呼吸沉重，胸口不停起伏。,60,14
"He's panicking again, but the reason for it is clear.",他又开始恐慌了，不过原因很明显。,53,16
About a single second is all Dev has to see it.,不出一秒种，Dev也看见了。,47,14
And to hear it--,还有听到-,16,5
And then it drops onto Cameron.,接着它落到了Cameron身上。,31,16
Cameron is suffocating.,Cameron无法呼吸。,23,12
"Just moments ago, he'd been gasping for breath, feeling the invisible dread creep up his back, the deafening static growing in his ears.",就在不久前，他还喘着粗气，承受着背后无形的恐惧，聆听着越发震耳的杂音。,136,35
"But now it's completely black, and something has its limbs around him, fingers over his mouth and nostrils.",可现在，一切都变黑了。有什么东西用四肢裹着他，用手指堵住他的嘴和鼻孔。,107,35
"He thrashes around, or at least he tries to.",他四处乱撞，至少他努力这样做。,44,15
"He goes through the motions, but there's no sensation of movement.",他做着各种动作，然而并没有运动的实感。,66,19
"A straining inhale of air drones right next to his ear, the thing pressing its head to the side of his face.",用力吸气的声音就在他耳边嗡嗡作响，它的头紧贴着他的脸。,108,27
"Cameron begs it to let go, tries to call for help.",Cameron恳求它放手，试图寻找帮助。,50,20
Devon was in front of him only seconds ago.,几秒钟前，Devon还在他前面。,43,16
The voice in his head returns.,脑袋里的声音又回来了。,30,11
"Cameron does think that he's died, and that he's in hell, because of course he'd end up there.",Cameron心想，自己的确已经死了吧，那周围一定是地狱了，因为他只配下地狱。,94,39
Cameron realizes then that it's not the thing holding onto him that's speaking to him.,Cameron意识到正在说话的并不是抓着自己的东西。,86,26
"Because now is when it starts to speak, but it's not a voice he expects.",因为就在此时，它以一种出人意料的叫声开口了。,72,22
A woman's voice.,一个女人的声音。,16,8
"A man's voice, a sickening thud.",一个男人的声音，一声令人作呕的闷响。,32,18
"The tone of the static changes, and Cameron knows he's listening to something different, a different moment.",杂音的腔调在变化，Cameron知道自己听到了不同的事物，不同的时刻。,108,35
And it continues.,声音还在继续。,17,7
What sounds like someone screaming through a gag.,听起来像是有人透过封口布尖叫。,49,15
"A woman sobbing, a man begging.",一个哭泣的女人，一个哀求的男人。,31,16
"But then there's a shift, and though most of the voices were women, they become almost exclusively young men.",后来声音变了，从大部分是女性，到几乎全部是年轻男性。,109,26
And the voices blend together and go on and on and on...,这些声音混合在一起，连续不断...,56,17
"Meanwhile, Cameron goes limp, giving up, feeling as one with the voice that comes next:",与此同时，Cameron四肢绵软无力，他放弃了，感觉自己与接下来的声音融为了一体：,87,41
"Devon watches as Cameron's body just goes limp, and though he tries to leap forward and catch him, the coyote slips to the ground at his feet.",Devon猛地一跃，试图接住Cameron，却还是眼睁睁看着狼的身体瘫倒在地。,142,39
"The bear instantly picks him up, or tries to.",熊立刻把他抱起来，或者尝试抱起来。,45,17
"Though it's something he'd done many times before, he'd never done it while Cameron was so completely lifeless, and he struggles with the coyote's deadweight.",这并非什么陌生的动作，然而在Cameron毫无生气的时候还是头一遭。,158,34
"He lays the coyote out on his back, hoping he just wakes up.",他让郊狼平躺在地上，祈祷他能醒来。,60,17
"Whatever it was just seemed to absorb into Cameron, disappearing in an instant.",不管是什么，它似乎被Cameron吸收，瞬间消失不见了。,79,28
Devon doesn't care.,Devon已经无所谓了。,19,12
"Two days ago, he would have thought he'd give almost anything to see something like that.",放在两天前，他还会为看到这样的东西而不惜一切代价。,89,25
"Now, it doesn't seem to matter at all.",至于现在，全都无所谓了。,38,12
Cameron's chest that had been heaving seconds ago isn't moving at all now.,Cameron几秒钟前还在起伏的胸膛现在一动也不动。,74,26
"The panic is threatening to overwhelm the bear, his peripheral vision dimming, going dark, and he has to rest a paw next to Cameron's head to steady himself.",惶恐随时都要压垮这头熊，他的视野从边缘开始变暗，不得不把手撑在Cameron的头旁边，以稳住自己。,157,49
"He can't pass out now, otherwise Cameron would only have Artie to help him, and the cat is seemingly frozen, his fingers twisting into his head fur.",他还不能昏倒，否则能救Cameron的就只有Artie了。而那只猫似乎被吓得不知所措，手指狰狞地攥着头毛。,148,53
"Devon tries to tilt Cameron's head back, straighten his torso so he can breathe.",Devon小心翼翼地伸直Cameron的身体，把他的头向后倾斜，好让他呼吸。,80,38
Devon rubs at Cameron's chest.,Devon摩擦着Cameron的胸口。,30,19
"It's such a desperate, useless gesture.",如此绝望而又无助。,39,9
"Dev readies himself, wishing he could remember a single useful thing from the one day he learned about CPR in high school.",Dev强迫自己冷静下来，努力回忆高中时学习过的心肺复苏术。哪怕寥寥无几也好，只要能派上用场。,122,46
All he remembers is tittering with his classmates about the female manikin's chest and how they had to touch it.,然而他所记得的就只有自己和同学们开女性假人胸部的玩笑，以及他们是怎样抚摸它的。,112,39
"His vision blurs as he uselessly places his paws, one over the other on Cameron's chest.",他徒劳地把爪子叠放在Cameron的胸口，视线渐渐模糊。,88,28
"And then a droning, ragged wheeze comes from the coyote's mouth.",但随后，郊狼发出了低沉、无力的喘息声。,64,19
Another labored wheeze.,又是一声吃力的喘息。,23,10
"He is, but it's still strained, like something heavy is on his chest.",他在坚持，但还是很勉强，好像有什么重物压在他的胸口。,69,26
"Not sure of what else to do, Devon pulls Cameron into a sitting position, leaning the coyote against his body, and Cameron gasps.",Devon不确定自己还能做什么，于是他把Cameron扶起来，让狼靠在自己身上。Cameron急促地喘着气。,129,54
"Even Artie is crying, wiping his eyes as he laughs.",就连Artie都在哭了，他笑着擦去眼泪。,51,20
Devon shakes his head.,Devon摇摇头。,22,9
"Now Devon just needs Cameron to regain consciousness, so he knows he's okay for sure.",Devon顾不上其他的，只希望Cameron恢复意识，好确定他没有事。,85,35
"Never had he seen evidence of, or believed that the supernatural could physically harm the living.",他从没见过，也不相信超自然力量会对活人造成物理上的伤害。,98,28
"He's very careful with how he moves Cameron, terrified that his breathing might stop again.",他异常小心地移动Cameron，生怕他的呼吸再度停止。,91,27
"But as he stands, cradling Cameron in his arms, he looks up.",但当搂着Cameron起身时，他不经意间一瞥。,60,23
"Standing twenty feet away, toward that trailer, is another bear.",离那辆拖车二十英尺的地方，站着一头熊。,64,19
He's holding a shotgun.,端着一柄猎枪的熊。,23,9
A bloody red light tears a hole through the middle of the office room.,猩红色的光线在办公室正中撕出一道裂口。,70,19
The demonic light caresses the countless books held against the walls. Tomes that had surely outlived the duties of many a Demon Lord.,鬼魅的光芒抚摸着排在墙边数不尽的书籍，这些书籍的年岁甚至比大部分魔王的任期还要长。,134,41
"Though, for all the secrets and worlds kept between their pages, you had seen enough of them. The light rips apart further—a portal, from which you step out into the otherwise fairly regular room.",书页中隐藏着无数的秘密与世界，但这些都勾不起你的兴趣。光进一步撕裂，形成了一道传送门。你从其中走出，步入了一个错落有致的房间。,196,63
"A glass bookshelf to your left is bathed in a red hued light, reflecting your figure. If the horns, the yellow iris and the blue flame over your head did not already give it away, you are a demon.",左侧一个沐浴在红光之中的玻璃书架映照出你的身影。头上的双角、黄色的虹膜以及蓝色火焰无不彰显出你恶魔的身份。,196,53
"Reaching the edge of the desk, you drop your hand against the hardwood and drag it along the surface until you take a seat behind the table.",你用手在硬木桌面上划动，走到书桌后面坐下。,140,21
"Today, you begin your reign over the spawns of the Underworld, as the all mighty judge of the world’s sinners.",作为世间全部罪人的，无所不能的审判者，今天，你将开始对冥界的统治。,110,33
"Today, you will make a mark on the world!",今天，你将让世界铭记！,41,11
"Another portal opens up in the middle of your office. That familiar portly demonic gut-mouth sticks out first, eventually followed by the dark bullish figure you know as Vendrake.",另一道传送门在办公室中展开了，根据最先出现的那个发福的嘴状肚子，你知道来者是Vendrake。,179,47
The right hand demon of every single Demon Lord thus far in the flesh.,迄今为止所有魔王的副手。,70,12
His shirt is so primly tucked into his pants you wonder how long he spends checking himself out in the mirror every morning.,他塞进裤子里的衬衫是如此整齐，你不禁好奇他每天早晨会在镜子前打扮多长时间。,124,37
"The demon’s slow gait combined with his slightly raised chin exudes confidence. If you didn’t know better, you’d think he owned the place— commanding the room with his eons of experience.",他的步伐不紧不慢，再结合微微扬起的下巴，整个恶魔都散发着自信，在局外人眼中俨然一副拥有亿万年经验的管理者模样。,187,55
"Despite your place as the Demon Lord, you can’t help but acknowledge that this demon is older, wiser, and holds just as much power as you do.",尽管你贵为魔王，但不得不承认，对方比你更为古老、聪慧，且拥有不亚于你的力量。,141,38
The portly demon hands you a small rectangular piece of plastic.,大腹便便的恶魔递给你一张长方形塑料片。,64,19
"On the top, there’s the title “Demon Lord, Probation”",塑料片最顶端写着：‘魔王，见习。’,53,17
"Asterion, that's a familiar name, there was a bull with that name here before.",Asterion，熟悉的称呼，这里曾有一头公牛也叫这个名字。,78,30
"Amicus, a name fit for a king.",Amicus，一个具有帝王之气的名字。,30,19
"Eyvind, like the adventurer that died repeatedly in that fogged forest.",Eyvind，听起来像某个在雾气弥漫的森林中出生入死的冒险者。,71,31
"Chase, that name carries a sense of dread.",Chase，给人以恐惧感的姓名。,42,16
"Torahiko, a lost soul famous for living a thousand lives, but none his own.",Torahiko，一个迷失的灵魂。他经历了一千次轮回，却没有一次属于他自己。,75,38
Some jokes never get old.,有些笑话永远不过时。,25,10
The black ink glows white and solidifies upon the name card.,黑色的墨水发出白光，并在名片上凝固。,60,18
Vendrake snaps his fingers and a large file labelled “Demon Lord Orientation” appears between his hands.,Vendrake打了个响指，一个标有‘魔王培训’的大册子应声落在他两手之间。,104,38
The file looks big enough to be classified as a weapon.,那个册子厚到拿来当武器也不过分。,55,16
You feel sick to your stomach by the mere sight of it.,只看了一眼，你就一阵反胃。,54,13
Your shoulders fall from the weight of Vendrake’s words.,听到Vendrake此言，你垂下了肩。,56,19
Vendrake rubs his forehead and frowns.,Vendrake皱着眉，揉了揉额头。,38,18
"Vendrake raises a finger to retaliate but pulls it back. He frowns slightly, but to you, he’s always frowning.",Vendrake伸出一根手指想要抗议，不过又收了回去，微微皱起眉头。虽然对你来说他没有一刻不皱眉的。,110,50
You struggle to pay attention to Vendrake’s lecture. {w=2}{nw},你很难专注在Vendrake的授课上。{w=2}{nw},62,28
"Of course, each time you’re caught not paying attention, Vendrake would slap the table loudly with his tail to bring you back to the education at hand.",当然，每当Vendrake注意到你在开小差，他都会用尾巴大声拍打桌子，把你带回现实。,151,42
"He also goes into a long explanation about his role as Chief of Security, how his forces patrol the Underworld to maintain order, and the various boring documents they fill out on a daily basis to do so.",他还详细说明了他作为安全主管的职责：他的部队如何在冥界巡逻、维持秩序，以及他们每天都要为此填写各种无聊的文件。,203,55
"When Vendrake had finished his spiel​​— and mini policy documentary, all you want to do is to get out of the office and start meeting your crew.",当Vendrake终于完成他的长篇大论，外加一部小型政策纪录片的时候，你满脑子就只想着一件事：离开这间办公室，去见自己的同事们。,144,64
"Your portal opens upon Amare’s workshop, just one of the many office floors that comprise the never-ending soul-crushing depths of the Underworld.",你将传送门出口设置在了Amare的工坊，一栋平平无奇的办公楼中。正是众多类似的建筑，构成了这永无止境摧残着灵魂的冥界。,146,59
"Bright round orbs of light hover in the sky-high ceiling, illuminating the entire area below. The space can be likened to a hangar filled to the brim with containers and machines.",明亮的光球盘旋在高高的天花板上，照亮了下方的区域。整个空间说是一个装满了集装箱和机械的飞机库也不为过。,179,51
"Large, powerful air vents stand where one would expect windows to reside. But then again, there is nothing that exceptional to see in the Underworld, at least for you.",原本应该装着窗户的地方被巨大而强劲的通风口所取代。不过话说回来，冥界也没什么令人惊艳的美景，至少对你而言没有。,167,55
"As you walk towards the cat demon standing over his workbench, you recall your youth.",你朝站在工作台前的猫恶魔走去，儿时的记忆涌入脑海。,85,25
"You visited this workspace several times while growing up. Amare would always give you the newest toy he had created, which regularly ended up with him receiving an earful from your father.",你从小就喜欢参观这个工坊。Amare总把他最新发明的玩具送给你，虽然他往往收获你父亲的一顿臭骂。,189,48
"When you were older, you learnt that the toys were actually experimental weapons.",等你长大后，才知道那些玩具实际上是实验性武器。,81,23
"Still, you found Amare to be amusing, and now you have a chance to know him on a professional and personal level.",不过你依然觉得Amare是个有趣的恶魔，现在，你有机会从专业和个人层面了解他了。,113,40
"Small spider-shaped robots scurry around the workshop, carrying pieces of metal, wires, and other technology you do not recognise. They’re working to organise materials in the many large cabinets that line the workshop walls.",蜘蛛形状的小机器人携带着金属、电线，和其他你不认识的设备在工坊里忙碌，它们正在整理墙边那排柜子里的材料。,225,52
The cat demon has yet to notice your presence.,猫恶魔尚未察觉到你的存在。,46,13
"Instead he is hands-deep inside the back of what looks like a modified fridge. As he yanks random wires from the machine, his translucent arms float above him to take notes.",相反，他把手伸进一个看起来像是改装过的冰箱后面，随意扯出几根电线，同时用浮在空中的半透明手臂做着笔记。,173,51
"The sleek appearance of the magic-infused metal always catches your eyes. No other demon in the Underworld possesses such a device, and only Amare knows how to work them.",那饱含的魔力金属制成的时髦外观没有一刻不抓住你的眼球。冥界中拥有类似装置与其操作方法的恶魔唯有Amare。,170,53
You tap Amare on the shoulder.,你轻轻拍了拍Amare的肩膀。,30,15
"The spider bots all turn towards you, the unmistakable humm of their blasters charging echoes throughout the warehouse.",所有蜘蛛机器人都转向了你，充能爆破枪的嗡嗡声在仓库中回响。,119,29
You wave to the demon general with a laid-back smile.,你面带悠哉的微笑朝恶魔将军挥挥手。,53,17
A loud ping echoes throughout the workshop and the spider bots return to their original tasks.,随着‘乒’的声音响彻整间工坊，蜘蛛机器人回到了各自的岗位上。,94,30
One of his floating arms tears off the note it was writing earlier and readies itself to jot down something new.,其中一只飘浮的手臂撕掉了先前的纸条，准备写些新的东西。,112,27
A large screen descends from the ceiling and turns itself on. It shows what looks like a blueprint of Amare’s body.,一块巨大的屏幕从天花板上落下，并自行启动，显示出疑似Amare身体蓝图的画面。,115,39
A weak smile forms on your face.,你的脸上浮现出一丝淡淡的微笑。,32,15
His ears droop upon hearing the truth.,听到真相后，他的耳朵耷拉了下来。,38,16
His floating arms act fast and jot down his thoughts.,漂浮的手臂迅速记下了他的想法。,53,15
You’re relieved that the general bounced back so quickly.,看到这位将军这么快就恢复过来了，你松了一口气。,57,23
Amare gives you a fastidious bow and rushes off towards one of his many cabinets to find his next machine.,Amare鞠了个无可挑剔的躬，接着奔向他众多柜子中的一个，寻找起他的机器来。,106,38
Just the right time for you to open a portal to head over and visit Fortis.,现在正是开启传送门，前往拜访Fortis的好时机。,75,25
You step into a brightly lit break room.,你走进了一间灯火通明的休息室。,40,15
The smell of coffee and baked goods that used to be here at some point still lingers in the air.,咖啡和烘焙食品的余香仍久久萦绕在空气中。,96,20
"On the left of the room is a table that holds the instant mixes, creamers, and sugars the workers use. The table itself is stained with telltale ring marks of the many drinks that were created upon it.",房间左侧有一张桌子，上面放着工人们的速溶粉、奶精和糖，还有不少饮料浸的环形印子。,201,40
